DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AEP,CZM,2019-01-10,€48.000000,2052.550000 kg,177.830000 L,6887 km
DPS,MEB,2019-02-08,€28.000000,1174.100000 kg,103.280000 L,4440 km
MEB,AEP,2019-03-22,€95.000000,4121.680000 kg,353.110000 L,11691 km
AEP,EWR,2019-03-22,€63.000000,2717.790000 kg,234.160000 L,8583 km
EWR,YHU,2019-03-23,€5.000000,181.270000 kg,21.660000 L,625 km
YHU,AEP,2019-03-27,€68.000000,2940.900000 kg,253.050000 L,9148 km
AEP,TNT,2019-03-27,€92.000000,3981.030000 kg,341.190000 L,11409 km
TNT,AEP,2019-04-12,€92.000000,3981.030000 kg,341.190000 L,11409 km
AEP,BUD,2019-04-12,€99.000000,4276.670000 kg,366.250000 L,12001 km
BUD,AMS,2019-04-19,€8.000000,335.000000 kg,33.160000 L,1217 km
AMS,SOF,2019-04-20,€12.000000,504.000000 kg,47.340000 L,1803 km
SOF,ESH,2019-04-21,€13.000000,556.730000 kg,51.520000 L,2058 km
ESH,AEP,2019-05-23,€89.000000,3839.760000 kg,329.210000 L,11126 km
AEP,DCA,2019-05-23,€62.000000,2664.170000 kg,229.620000 L,8447 km
DCA,SFO,2019-05-24,€24.000000,1010.480000 kg,89.410000 L,3976 km
SFO,BUR,2019-05-25,€5.000000,182.000000 kg,22.270000 L,575 km
BUR,YHU,2019-05-26,€24.000000,1005.260000 kg,88.970000 L,3954 km
YHU,AEP,2019-06-07,€68.000000,2940.900000 kg,253.050000 L,9148 km
AEP,BEG,2019-06-07,€98.000000,4240.070000 kg,363.140000 L,11928 km
LCY,AEP,2019-07-14,€90.000000,3875.160000 kg,332.210000 L,11197 km
AEP,AMS,2019-07-14,€93.000000,4023.980000 kg,344.830000 L,11495 km
AMS,BCN,2019-07-21,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,IBZ,2019-07-23,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,SKU,2019-07-26,€13.000000,556.060000 kg,51.460000 L,2055 km
SKU,MPL,2019-08-03,€12.000000,504.830000 kg,47.280000 L,1845 km
MPL,IBZ,2019-08-07,€5.000000,179.230000 kg,21.520000 L,618 km
IBZ,AMS,2019-08-10,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,LGA,2019-08-24,€40.000000,1698.650000 kg,147.790000 L,5901 km
LGA,AEP,2019-08-31,€63.000000,2719.070000 kg,234.270000 L,8586 km
AEP,YHU,2019-08-31,€68.000000,2940.900000 kg,253.050000 L,9148 km
YHU,AEP,2019-09-07,€68.000000,2940.900000 kg,253.050000 L,9148 km
AEP,NVT,2019-09-07,€9.000000,373.820000 kg,36.680000 L,1315 km
NVT,AEP,2019-09-16,€9.000000,373.820000 kg,36.680000 L,1315 km
AEP,IBZ,2019-09-16,€79.000000,3416.180000 kg,293.310000 L,10278 km
IBZ,CLO,2019-09-26,€65.000000,2795.690000 kg,240.760000 L,8780 km
CLO,AEP,2019-10-17,€29.000000,1260.130000 kg,110.580000 L,4680 km
AEP,AMS,2019-10-17,€93.000000,4023.980000 kg,344.830000 L,11495 km
AMS,BUD,2019-10-19,€8.000000,335.000000 kg,33.160000 L,1217 km
BUD,SCL,2019-10-30,€107.000000,4644.550000 kg,397.430000 L,12738 km
SCL,MEB,2019-11-08,€91.000000,3947.790000 kg,338.370000 L,11343 km
MEB,HND,2019-11-15,€60.000000,2575.180000 kg,222.090000 L,8221 km
HND,NGO,2019-11-16,€5.000000,67.710000 kg,14.440000 L,310 km
NGO,GDL,2019-11-28,€90.000000,3873.350000 kg,332.060000 L,11194 km
GDL,MEX,2019-11-29,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,AEP,2019-12-13,€53.000000,2269.050000 kg,196.170000 L,7446 km
AEP,TNT,2019-12-13,€92.000000,3981.030000 kg,341.190000 L,11409 km
TNT,YHU,2019-12-14,€43.000000,1850.420000 kg,160.680000 L,6324 km
YHU,AEP,2019-12-20,€68.000000,2940.900000 kg,253.050000 L,9148 km
AEP,SFO,2019-12-20,€81.000000,3504.680000 kg,300.810000 L,10455 km
SFO,AEP,2019-12-27,€81.000000,3504.680000 kg,300.810000 L,10455 km
AEP,AEP,2019-12-27,€0.000000,0.000000 kg,0.000000 L,0 km
