DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,TXL,2019-01-11,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LBG,2019-01-12,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,AMS,2019-01-19,€5.000000,127.050000 kg,18.160000 L,457 km
AMS,LCY,2019-01-19,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-01-25,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,SXB,2019-01-25,€5.000000,162.000000 kg,21.010000 L,515 km
SXB,AMS,2019-02-08,€5.000000,162.000000 kg,21.010000 L,515 km
AMS,ZAG,2019-02-08,€7.000000,298.000000 kg,29.870000 L,1148 km
ZAG,SPU,2019-02-09,€5.000000,49.000000 kg,12.400000 L,295 km
SPU,AMS,2019-02-15,€9.000000,374.000000 kg,36.450000 L,1346 km
AMS,MST,2019-02-15,€5.000000,44.970000 kg,11.380000 L,220 km
MST,LCY,2019-02-16,€5.000000,125.540000 kg,18.070000 L,454 km
LCY,AMS,2019-02-22,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,ORY,2019-02-22,€5.000000,138.740000 kg,18.860000 L,485 km
ORY,TXL,2019-02-23,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,AMS,2019-03-02,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,GVA,2019-03-02,€6.000000,222.000000 kg,24.810000 L,731 km
GVA,AMS,2019-03-09,€6.000000,222.000000 kg,24.810000 L,731 km
AMS,ANR,2019-03-09,€5.000000,36.320000 kg,9.190000 L,178 km
ANR,AMS,2019-03-16,€5.000000,36.320000 kg,9.190000 L,178 km
AMS,LCY,2019-03-16,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,SIR,2019-03-18,€6.000000,246.430000 kg,26.400000 L,843 km
SIR,AMS,2019-03-23,€6.000000,217.720000 kg,24.100000 L,752 km
AMS,ZRH,2019-03-23,€5.000000,180.000000 kg,21.010000 L,652 km
ZRH,AMS,2019-03-29,€5.000000,180.000000 kg,21.010000 L,652 km
BRU,AMS,2019-04-20,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,LCY,2019-04-20,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-04-27,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,TXL,2019-04-27,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-05-03,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,LBA,2019-05-03,€5.000000,181.000000 kg,23.540000 L,510 km
LBA,LPL,2019-05-05,€5.000000,30.580000 kg,7.740000 L,149 km
LPL,AMS,2019-05-17,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,BRS,2019-05-17,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,LCY,2019-05-18,€5.000000,49.700000 kg,12.580000 L,243 km
LCY,AMS,2019-06-14,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,LYN,2019-06-14,€6.000000,227.540000 kg,24.890000 L,783 km
LYN,AMS,2019-06-22,€6.000000,227.540000 kg,24.890000 L,783 km
AMS,LCY,2019-06-22,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-06-29,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,FDH,2019-08-02,€5.000000,193.480000 kg,22.470000 L,668 km
FDH,AMS,2019-08-10,€5.000000,193.480000 kg,22.470000 L,668 km
AMS,BUD,2019-08-10,€8.000000,335.000000 kg,33.160000 L,1217 km
BUD,AMS,2019-08-14,€8.000000,335.000000 kg,33.160000 L,1217 km
AMS,NAP,2019-08-14,€10.000000,422.650000 kg,40.630000 L,1512 km
NAP,AMS,2019-08-16,€10.000000,422.650000 kg,40.630000 L,1512 km
ZRH,AMS,2019-09-21,€5.000000,180.000000 kg,21.010000 L,652 km
AMS,HND,2019-09-21,€70.000000,3030.380000 kg,260.630000 L,9375 km
HND,AMS,2019-10-11,€70.000000,3030.380000 kg,260.630000 L,9375 km
AMS,MAN,2019-10-11,€5.000000,157.000000 kg,20.000000 L,534 km
MAN,AMS,2019-10-19,€5.000000,157.000000 kg,20.000000 L,534 km
AMS,TXL,2019-11-29,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-12-05,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,AMS,2019-12-05,€5.000000,10.190000 kg,2.570000 L,50 km
