DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
FLR,CDG,2019-01-31,€9.000000,381.000000 kg,39.740000 L,929 km
CDG,TXL,2019-02-09,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,BGO,2019-02-16,€8.000000,306.550000 kg,31.230000 L,1042 km
LHR,MAN,2019-03-16,€5.000000,49.000000 kg,12.400000 L,291 km
LGA,DCA,2019-04-06,€5.000000,91.000000 kg,14.680000 L,393 km
DCA,SFO,2019-04-07,€24.000000,1010.480000 kg,89.410000 L,3976 km
SFO,BRU,2019-04-17,€66.000000,2864.030000 kg,246.540000 L,8953 km
BRU,OIM,2019-04-27,€72.000000,3109.680000 kg,267.340000 L,9576 km
OIM,EDI,2019-05-04,€70.000000,3034.990000 kg,261.020000 L,9386 km
EDI,LPL,2019-05-05,€5.000000,78.480000 kg,15.260000 L,342 km
LPL,LGA,2019-05-11,€35.000000,1510.460000 kg,131.830000 L,5377 km
LGA,ARN,2019-05-18,€43.000000,1857.010000 kg,161.230000 L,6342 km
ARN,BQH,2019-05-23,€10.000000,415.450000 kg,40.050000 L,1483 km
BQH,LHR,2019-05-26,€5.000000,18.150000 kg,4.590000 L,89 km
LHR,GLA,2019-05-31,€5.000000,155.000000 kg,18.480000 L,604 km
GLA,AMS,2019-06-01,€6.000000,236.000000 kg,26.070000 L,766 km
AMS,LHR,2019-06-08,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,VIY,2019-06-15,€5.000000,104.630000 kg,16.820000 L,404 km
VIY,TXL,2019-06-29,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,BCN,2019-07-06,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,LGA,2019-07-13,€42.000000,1808.520000 kg,157.120000 L,6207 km
LGA,YEO,2019-07-25,€36.000000,1541.620000 kg,134.470000 L,5464 km
YEO,HND,2019-08-02,€74.000000,3187.260000 kg,273.910000 L,9772 km
HND,MEL,2019-08-18,€59.000000,2536.730000 kg,218.830000 L,8124 km
MEL,HND,2019-08-18,€112.000000,4837.000000 kg,414.430000 L,11694 km
HKG,AMS,2019-08-30,€84.000000,3609.000000 kg,310.630000 L,9320 km
AMS,LHR,2019-09-07,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,AMS,2019-09-13,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,ESH,2019-09-24,€5.000000,118.470000 kg,17.650000 L,437 km
LHR,MAN,2019-10-26,€5.000000,49.000000 kg,12.400000 L,291 km
MAN,LGA,2019-10-31,€36.000000,1524.100000 kg,132.980000 L,5415 km
LGA,ZRH,2019-11-09,€43.000000,1865.050000 kg,161.920000 L,6365 km
ZRH,LHR,2019-11-15,€5.000000,207.000000 kg,22.270000 L,835 km
LHR,ESH,2019-11-23,€5.000000,24.930000 kg,6.310000 L,122 km
ANR,LYX,2019-12-14,€5.000000,64.340000 kg,14.130000 L,298 km
LYX,LPL,2019-12-26,€5.000000,111.580000 kg,17.240000 L,421 km
LPL,MEL,2019-12-31,€38.000000,1644.820000 kg,143.230000 L,5751 km
