DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,IBZ,2019-02-09,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-02-16,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BRU,2019-02-16,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-02-22,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,SDV,2019-02-22,€18.000000,754.430000 kg,68.030000 L,2894 km
SDV,MLH,2019-02-23,€18.000000,766.020000 kg,69.000000 L,2943 km
MLH,SXF,2019-03-01,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,IST,2019-03-01,€12.000000,480.460000 kg,45.310000 L,1746 km
IST,SXF,2019-03-17,€12.000000,480.460000 kg,45.310000 L,1746 km
SXF,SOF,2019-03-17,€9.000000,386.710000 kg,37.720000 L,1367 km
SOF,SXF,2019-03-30,€9.000000,386.710000 kg,37.720000 L,1367 km
SXF,ZRH,2019-03-30,€5.000000,206.860000 kg,23.370000 L,714 km
ZRH,SXF,2019-04-05,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,TXL,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DXB,2019-04-18,€29.000000,1257.370000 kg,110.350000 L,4672 km
DXB,TXL,2019-04-21,€30.000000,1279.000000 kg,112.150000 L,4682 km
TXL,SXF,2019-05-24,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,CDG,2019-05-24,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,SXF,2019-06-12,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,TXL,2019-06-12,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,BCN,2019-06-13,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,SXF,2019-07-06,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,HND,2019-07-06,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,TXL,2019-07-11,€67.000000,2879.910000 kg,247.890000 L,8993 km
TXL,SXF,2019-07-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DCA,2019-07-19,€47.000000,2013.820000 kg,174.540000 L,6779 km
DCA,SXF,2019-08-11,€47.000000,2013.820000 kg,174.540000 L,6779 km
SXF,TXL,2019-08-11,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-09-12,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-09-12,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-10-12,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DUB,2019-10-12,€9.000000,388.500000 kg,37.860000 L,1374 km
DUB,SXF,2019-10-19,€9.000000,388.500000 kg,37.860000 L,1374 km
SXF,IEV,2019-10-19,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,SXF,2019-11-01,€9.000000,356.900000 kg,35.300000 L,1246 km
SXF,TXL,2019-11-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,ANR,2019-11-02,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,SXF,2019-11-16,€5.000000,199.290000 kg,22.860000 L,688 km
SXF,TXL,2019-11-16,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-06,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LHR,2019-12-06,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,EZE,2019-12-18,€90.000000,3871.290000 kg,331.890000 L,11190 km
EZE,GRU,2019-12-28,€11.000000,467.000000 kg,43.790000 L,1772 km
GRU,SXF,2019-12-31,€79.000000,3433.560000 kg,294.780000 L,10313 km
