DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MEL,SYD,2019-01-04,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,MEL,2019-01-11,€106.000000,4602.000000 kg,394.170000 L,12102 km
ORY,SXF,2019-02-09,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,HEM,2019-02-09,€8.000000,336.870000 kg,33.680000 L,1165 km
HEM,SXF,2019-02-14,€8.000000,336.870000 kg,33.680000 L,1165 km
SXF,TXL,2019-02-14,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LJU,2019-02-15,€6.000000,226.720000 kg,24.820000 L,780 km
LJU,BCN,2019-02-16,€8.000000,319.000000 kg,31.640000 L,1183 km
BCN,SXF,2019-02-22,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,IEV,2019-02-22,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,SXB,2019-02-23,€11.000000,470.950000 kg,44.540000 L,1708 km
SXB,SXF,2019-03-02,€5.000000,190.050000 kg,22.240000 L,656 km
MEL,SYD,2019-05-04,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,BOM,2019-05-10,€106.000000,4602.000000 kg,394.170000 L,12102 km
BOM,BLR,2019-05-11,€5.000000,194.000000 kg,20.500000 L,892 km
BLR,PNQ,2019-05-12,€5.000000,162.000000 kg,17.720000 L,780 km
PNQ,BRU,2019-05-17,€49.000000,2108.620000 kg,182.580000 L,7039 km
BRU,SXF,2019-05-25,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,AMS,2019-05-25,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-05-31,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,BCN,2019-05-31,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,SXF,2019-06-06,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,OPO,2019-06-06,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,MAN,2019-06-07,€10.000000,416.360000 kg,40.120000 L,1487 km
MAN,BRS,2019-06-08,€5.000000,62.000000 kg,15.690000 L,272 km
BRS,SXF,2019-06-14,€8.000000,337.490000 kg,33.730000 L,1168 km
SXF,LHR,2019-06-14,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,DUB,2019-06-15,€5.000000,128.000000 kg,16.960000 L,499 km
DUB,BCN,2019-06-16,€10.000000,428.720000 kg,41.120000 L,1537 km
BCN,SXF,2019-06-21,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,LBA,2019-06-21,€8.000000,313.420000 kg,31.780000 L,1070 km
LBA,CIA,2019-06-22,€12.000000,478.950000 kg,45.190000 L,1740 km
CIA,SXF,2019-06-27,€9.000000,356.520000 kg,35.270000 L,1245 km
SXF,TXL,2019-06-27,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,CDG,2019-06-28,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,MAD,2019-06-29,€7.000000,278.000000 kg,28.100000 L,1111 km
MAD,SXF,2019-07-12,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,BOD,2019-07-12,€10.000000,393.800000 kg,38.290000 L,1395 km
BOD,FRA,2019-07-13,€7.000000,282.240000 kg,29.270000 L,956 km
FRA,LYN,2019-07-14,€5.000000,173.850000 kg,21.160000 L,600 km
LYN,SXF,2019-07-20,€7.000000,302.810000 kg,30.920000 L,1027 km
SXF,LHR,2019-07-20,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-07-26,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,AMS,2019-07-31,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-08-11,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,YHU,2019-08-11,€41.000000,1765.650000 kg,153.480000 L,6088 km
YHU,AOO,2019-08-15,€5.000000,215.070000 kg,23.920000 L,743 km
AOO,SFO,2019-08-24,€23.000000,977.450000 kg,86.650000 L,3837 km
SFO,DMA,2019-08-29,€9.000000,358.550000 kg,35.440000 L,1253 km
DMA,LGA,2019-08-30,€21.000000,885.680000 kg,78.990000 L,3448 km
LGA,SXF,2019-11-23,€44.000000,1890.850000 kg,164.110000 L,6436 km
MEL,AKL,2019-11-29,€112.000000,4837.000000 kg,414.430000 L,11694 km
AKL,MEL,2019-12-07,€125.000000,5429.430000 kg,463.950000 L,14310 km
MEL,SXF,2019-12-20,€112.000000,4837.000000 kg,414.430000 L,11694 km
