DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,MAD,2019-01-01,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-04-06,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,MHG,2019-04-06,€5.000000,155.530000 kg,19.940000 L,536 km
MHG,SXF,2019-04-12,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,LHR,2019-04-12,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,ARN,2019-04-13,€10.000000,403.000000 kg,38.730000 L,1511 km
ARN,SXF,2019-05-03,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,NVT,2019-05-03,€84.000000,3646.960000 kg,312.870000 L,10740 km
NVT,SCL,2019-05-11,€15.000000,613.060000 kg,56.220000 L,2296 km
SCL,CLO,2019-05-17,€26.000000,1089.400000 kg,96.100000 L,4204 km
CLO,BOG,2019-05-18,€5.000000,57.000000 kg,14.430000 L,328 km
BOG,EIN,2019-06-01,€66.000000,2856.580000 kg,245.910000 L,8934 km
EIN,SXF,2019-06-07,€5.000000,179.280000 kg,21.520000 L,619 km
SXF,IEV,2019-06-07,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,SXF,2019-06-14,€9.000000,356.900000 kg,35.300000 L,1246 km
SXF,SKU,2019-06-14,€12.000000,490.610000 kg,46.130000 L,1787 km
SKU,BEY,2019-06-15,€8.000000,340.160000 kg,33.950000 L,1178 km
BEY,MHG,2019-06-22,€18.000000,747.830000 kg,67.480000 L,2866 km
MHG,SXF,2019-06-30,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,AMS,2019-06-30,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,SXF,2019-07-04,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,CND,2019-07-04,€10.000000,419.090000 kg,40.340000 L,1498 km
CND,SXF,2019-07-07,€10.000000,419.090000 kg,40.340000 L,1498 km
SXF,TRN,2019-07-07,€7.000000,290.650000 kg,29.940000 L,983 km
TRN,SXF,2019-07-12,€7.000000,290.650000 kg,29.940000 L,983 km
SXF,CGN,2019-07-12,€5.000000,152.180000 kg,19.710000 L,524 km
CGN,SXF,2019-07-19,€5.000000,152.180000 kg,19.710000 L,524 km
SXF,IBZ,2019-07-19,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,SXF,2019-07-26,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,ANR,2019-07-26,€5.000000,199.290000 kg,22.860000 L,688 km
ANR,SXF,2019-08-01,€5.000000,199.290000 kg,22.860000 L,688 km
SXF,CLJ,2019-08-01,€7.000000,300.850000 kg,30.770000 L,1019 km
CLJ,SXF,2019-08-07,€7.000000,300.850000 kg,30.770000 L,1019 km
