DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,TXL,2019-01-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-01-11,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HKG,2019-01-11,€65.000000,2805.050000 kg,241.550000 L,8804 km
HKG,HAN,2019-01-18,€5.000000,204.000000 kg,21.510000 L,893 km
HAN,SSN,2019-01-19,€17.000000,729.760000 kg,65.970000 L,2789 km
SSN,CDG,2019-01-26,€67.000000,2885.230000 kg,248.340000 L,9007 km
CDG,SXF,2019-01-31,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,CIA,2019-01-31,€9.000000,356.520000 kg,35.270000 L,1245 km
CIA,LEJ,2019-02-02,€8.000000,325.260000 kg,32.740000 L,1118 km
LEJ,SXF,2019-02-15,€5.000000,39.530000 kg,10.000000 L,193 km
TXL,SXF,2019-02-23,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HEM,2019-02-23,€8.000000,336.870000 kg,33.680000 L,1165 km
HEM,SXF,2019-03-02,€8.000000,336.870000 kg,33.680000 L,1165 km
SXF,LPA,2019-03-02,€22.000000,941.220000 kg,83.620000 L,3683 km
LPA,SXF,2019-03-09,€22.000000,941.220000 kg,83.620000 L,3683 km
SXF,MXP,2019-03-09,€7.000000,261.190000 kg,27.580000 L,889 km
MXP,SXF,2019-03-15,€7.000000,261.190000 kg,27.580000 L,889 km
SXF,MAD,2019-03-15,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,TXL,2019-03-16,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,SXF,2019-03-30,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,FRA,2019-03-30,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-04-06,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,TXL,2019-04-06,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-12,€5.000000,13.420000 kg,3.390000 L,65 km
LHR,SXF,2019-04-25,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,BOS,2019-04-25,€42.000000,1784.550000 kg,155.090000 L,6140 km
BOS,PNE,2019-04-26,€5.000000,132.920000 kg,18.510000 L,471 km
PNE,SAN,2019-04-27,€23.000000,987.240000 kg,87.470000 L,3878 km
SAN,LHR,2019-05-04,€66.000000,2829.770000 kg,243.650000 L,8866 km
LHR,YVR,2019-05-10,€55.000000,2382.000000 kg,205.820000 L,7625 km
YVR,PDX,2019-05-11,€5.000000,53.000000 kg,13.410000 L,452 km
PDX,BFI,2019-05-17,€5.000000,56.030000 kg,13.370000 L,268 km
BFI,SFO,2019-05-18,€8.000000,334.030000 kg,33.450000 L,1153 km
SFO,LGA,2019-05-24,€25.000000,1086.830000 kg,95.880000 L,4197 km
LGA,DET,2019-05-25,€6.000000,242.760000 kg,26.110000 L,831 km
DET,YHU,2019-05-26,€6.000000,243.320000 kg,26.150000 L,833 km
YHU,SXB,2019-06-01,€40.000000,1717.820000 kg,149.420000 L,5954 km
SXB,SXF,2019-06-08,€5.000000,190.050000 kg,22.240000 L,656 km
SXF,VKO,2019-06-08,€11.000000,452.110000 kg,43.020000 L,1632 km
VKO,SXF,2019-06-14,€11.000000,452.110000 kg,43.020000 L,1632 km
SXF,BCN,2019-06-14,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,CIA,2019-06-15,€7.000000,263.430000 kg,27.760000 L,896 km
CIA,SXF,2019-06-28,€9.000000,356.520000 kg,35.270000 L,1245 km
TXL,SXF,2019-07-06,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LHR,2019-07-06,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-07-20,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,FRA,2019-07-20,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-07-27,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,TXL,2019-07-27,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-10,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-08-10,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-16,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,OBF,2019-08-16,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,LHR,2019-08-17,€7.000000,287.530000 kg,29.700000 L,973 km
LHR,IBZ,2019-08-19,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,SXF,2019-08-24,€12.000000,501.760000 kg,47.040000 L,1833 km
SXF,BRU,2019-08-24,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-09-21,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,FRA,2019-09-21,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-09-28,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,HEM,2019-09-28,€8.000000,336.870000 kg,33.680000 L,1165 km
HEM,SXF,2019-10-05,€8.000000,336.870000 kg,33.680000 L,1165 km
SXF,TXL,2019-10-05,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-10-12,€5.000000,13.420000 kg,3.390000 L,65 km
CDG,SXF,2019-10-25,€7.000000,268.370000 kg,28.160000 L,912 km
SIN,DPS,2019-11-02,€12.000000,481.000000 kg,45.310000 L,1719 km
DPS,TXL,2019-11-09,€95.000000,4097.780000 kg,351.080000 L,11643 km
TXL,SXF,2019-11-15,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,OPO,2019-11-15,€14.000000,576.830000 kg,53.200000 L,2143 km
OPO,LHR,2019-11-17,€8.000000,333.000000 kg,32.400000 L,1347 km
LHR,SXF,2019-11-22,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,VKO,2019-11-22,€11.000000,452.110000 kg,43.020000 L,1632 km
VKO,SXF,2019-11-30,€11.000000,452.110000 kg,43.020000 L,1632 km
SXF,STR,2019-11-30,€5.000000,165.950000 kg,20.640000 L,572 km
STR,SXF,2019-12-07,€5.000000,165.950000 kg,20.640000 L,572 km
SXF,TXL,2019-12-07,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-13,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LBA,2019-12-13,€8.000000,313.420000 kg,31.780000 L,1070 km
LBA,VCE,2019-12-14,€10.000000,401.090000 kg,38.880000 L,1425 km
VCE,SXF,2019-12-20,€6.000000,245.830000 kg,26.350000 L,841 km
SXF,LHR,2019-12-20,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-12-21,€7.000000,299.160000 kg,30.630000 L,1012 km
