DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,LIS,2019-01-01,€9.000000,362.000000 kg,34.680000 L,1518 km
LIS,CDG,2019-01-04,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,SKP,2019-01-04,€11.000000,472.460000 kg,44.660000 L,1714 km
SKP,CDG,2019-01-11,€11.000000,472.460000 kg,44.660000 L,1714 km
CDG,SDV,2019-01-11,€20.000000,855.890000 kg,76.500000 L,3323 km
SDV,GOA,2019-01-12,€17.000000,704.340000 kg,63.850000 L,2682 km
GOA,CDG,2019-01-24,€6.000000,255.000000 kg,28.350000 L,750 km
CDG,PIS,2019-01-24,€5.000000,89.450000 kg,15.910000 L,368 km
PIS,CDG,2019-02-15,€5.000000,89.450000 kg,15.910000 L,368 km
CDG,ORY,2019-02-15,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,GRX,2019-02-16,€10.000000,401.720000 kg,38.930000 L,1428 km
GRX,CDG,2019-02-22,€10.000000,410.490000 kg,39.650000 L,1463 km
CDG,MAD,2019-02-22,€7.000000,278.000000 kg,28.100000 L,1111 km
MAD,STR,2019-02-23,€10.000000,397.540000 kg,38.600000 L,1411 km
STR,CDG,2019-03-01,€5.000000,146.000000 kg,18.480000 L,539 km
CDG,TBS,2019-03-01,€26.000000,1116.000000 kg,99.490000 L,3415 km
TBS,EIN,2019-03-15,€20.000000,827.760000 kg,74.150000 L,3204 km
EIN,GNB,2019-03-16,€5.000000,216.970000 kg,24.040000 L,749 km
GNB,CDG,2019-03-22,€5.000000,156.840000 kg,20.030000 L,541 km
CDG,BOD,2019-03-22,€5.000000,141.000000 kg,17.210000 L,575 km
BOD,CDG,2019-03-30,€5.000000,141.000000 kg,17.210000 L,575 km
CDG,GNB,2019-03-30,€5.000000,156.840000 kg,20.030000 L,541 km
GNB,CDG,2019-04-05,€5.000000,156.840000 kg,20.030000 L,541 km
CDG,DIJ,2019-04-05,€5.000000,70.480000 kg,14.700000 L,320 km
DIJ,KRW,2019-04-06,€23.000000,999.250000 kg,88.470000 L,3929 km
KRW,GRU,2019-04-11,€105.000000,4531.810000 kg,387.870000 L,12512 km
GRU,MVD,2019-04-13,€7.000000,304.000000 kg,28.860000 L,1619 km
MVD,PRG,2019-04-20,€96.000000,4156.050000 kg,356.020000 L,11760 km
PRG,CDG,2019-04-26,€6.000000,226.000000 kg,23.790000 L,901 km
CDG,LYN,2019-04-26,€5.000000,127.120000 kg,18.170000 L,457 km
LYN,VIY,2019-04-27,€5.000000,122.830000 kg,17.910000 L,447 km
VIY,CDG,2019-05-03,€5.000000,17.960000 kg,4.540000 L,88 km
CDG,OBF,2019-05-03,€5.000000,203.040000 kg,23.110000 L,701 km
OBF,CDG,2019-05-07,€5.000000,203.040000 kg,23.110000 L,701 km
CDG,MPL,2019-05-07,€5.000000,166.000000 kg,19.240000 L,662 km
MPL,CDG,2019-05-10,€5.000000,166.000000 kg,19.240000 L,662 km
CDG,SXF,2019-05-10,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,TUF,2019-05-11,€8.000000,326.520000 kg,32.850000 L,1123 km
TUF,CDG,2019-05-24,€5.000000,57.210000 kg,13.480000 L,272 km
CDG,MAD,2019-05-24,€7.000000,278.000000 kg,28.100000 L,1111 km
