DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
IBZ,CDG,2019-02-07,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-04-06,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,MPL,2019-04-06,€5.000000,179.230000 kg,21.520000 L,618 km
MPL,IBZ,2019-05-19,€5.000000,179.230000 kg,21.520000 L,618 km
IBZ,GVA,2019-06-21,€7.000000,282.740000 kg,29.310000 L,958 km
GVA,LHR,2019-06-23,€5.000000,209.000000 kg,22.780000 L,802 km
LHR,IBZ,2019-06-30,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,BCN,2019-07-17,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-08-29,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,AMS,2019-10-19,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-12-31,€11.000000,436.920000 kg,41.780000 L,1570 km
