DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AVV,ADL,2019-01-04,€5.000000,197.440000 kg,22.740000 L,682 km
ADL,SYD,2019-01-05,€8.000000,315.000000 kg,31.130000 L,1214 km
SYD,MEB,2019-01-06,€6.000000,218.980000 kg,24.200000 L,756 km
MEB,HND,2019-01-19,€60.000000,2575.180000 kg,222.090000 L,8221 km
CPH,TXL,2019-02-09,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,STN,2019-02-15,€7.000000,278.000000 kg,28.930000 L,943 km
STN,MAN,2019-02-15,€5.000000,60.600000 kg,13.790000 L,284 km
MAN,LBA,2019-02-16,€5.000000,24.570000 kg,6.220000 L,120 km
LBA,STN,2019-02-22,€5.000000,65.970000 kg,14.280000 L,304 km
ESS,STN,2019-03-01,€5.000000,150.780000 kg,19.620000 L,520 km
STN,LCY,2019-03-01,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,MAD,2019-03-02,€11.000000,437.000000 kg,42.780000 L,1305 km
MAD,STN,2019-03-08,€9.000000,383.380000 kg,37.450000 L,1353 km
STN,LCY,2019-03-08,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-03-15,€5.000000,18.850000 kg,4.770000 L,92 km
STN,LCY,2019-03-15,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,MAN,2019-03-16,€5.000000,67.030000 kg,14.380000 L,308 km
MAN,STN,2019-03-22,€5.000000,60.600000 kg,13.790000 L,284 km
STN,LCY,2019-03-22,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,FRA,2019-03-23,€6.000000,227.000000 kg,26.320000 L,670 km
FRA,STN,2019-03-29,€5.000000,193.710000 kg,22.490000 L,669 km
STN,LCY,2019-03-29,€5.000000,18.850000 kg,4.770000 L,92 km
LCY,STN,2019-04-20,€5.000000,18.850000 kg,4.770000 L,92 km
STN,AMS,2019-04-20,€5.000000,87.740000 kg,15.810000 L,364 km
AMS,STN,2019-05-09,€5.000000,87.740000 kg,15.810000 L,364 km
STN,MEX,2019-05-09,€67.000000,2880.570000 kg,247.950000 L,8995 km
MEX,TNT,2019-05-10,€76.000000,3270.310000 kg,280.950000 L,9983 km
TNT,BOG,2019-05-11,€70.000000,3011.940000 kg,259.070000 L,9328 km
BOG,ORY,2019-05-17,€64.000000,2759.560000 kg,237.700000 L,8688 km
ORY,OPO,2019-05-18,€8.000000,317.000000 kg,31.130000 L,1249 km
OPO,IBZ,2019-05-20,€7.000000,277.430000 kg,28.890000 L,941 km
IBZ,STN,2019-05-25,€10.000000,419.900000 kg,40.410000 L,1501 km
STN,BRS,2019-05-25,€5.000000,54.100000 kg,13.190000 L,261 km
BRS,LCY,2019-05-26,€5.000000,49.700000 kg,12.580000 L,243 km
LCY,STN,2019-05-30,€5.000000,18.850000 kg,4.770000 L,92 km
STN,BRS,2019-05-30,€5.000000,54.100000 kg,13.190000 L,261 km
BRS,LYN,2019-05-31,€7.000000,262.590000 kg,27.700000 L,894 km
LYN,STN,2019-06-07,€6.000000,238.050000 kg,25.730000 L,816 km
STN,VIE,2019-06-07,€9.000000,362.200000 kg,35.730000 L,1268 km
VIE,TXL,2019-06-08,€5.000000,147.000000 kg,17.720000 L,596 km
