DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,AMS,2019-02-09,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-02-23,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,SXF,2019-02-24,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-03-23,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,CPH,2019-04-24,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,TXL,2019-05-09,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,SXF,2019-05-09,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-05-31,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,BMA,2019-06-06,€6.000000,251.330000 kg,26.800000 L,858 km
BMA,TXL,2019-07-05,€6.000000,251.330000 kg,26.800000 L,858 km
TXL,GLO,2019-07-05,€8.000000,321.950000 kg,32.480000 L,1105 km
GLO,TXL,2019-07-12,€8.000000,321.950000 kg,32.480000 L,1105 km
TXL,BMA,2019-07-17,€6.000000,251.330000 kg,26.800000 L,858 km
BMA,TXL,2019-08-14,€6.000000,251.330000 kg,26.800000 L,858 km
HND,YHU,2019-08-22,€80.000000,3475.200000 kg,298.310000 L,10396 km
YHU,TXL,2019-09-14,€41.000000,1759.980000 kg,153.000000 L,6072 km
TXL,DRS,2019-09-14,€5.000000,43.400000 kg,10.980000 L,212 km
DRS,TXL,2019-09-21,€5.000000,43.400000 kg,10.980000 L,212 km
TXL,LEJ,2019-09-21,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-09-28,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,BCN,2019-09-28,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-10-17,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,AMS,2019-10-17,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-10-26,€5.000000,183.000000 kg,21.770000 L,628 km
