DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,ESS,2019-01-26,€5.000000,47.400000 kg,12.000000 L,232 km
ESS,AMS,2019-02-02,€5.000000,47.400000 kg,12.000000 L,232 km
AMS,FLR,2019-02-09,€8.000000,323.300000 kg,32.580000 L,1110 km
FLR,AMS,2019-02-16,€8.000000,323.300000 kg,32.580000 L,1110 km
AMS,PNQ,2019-02-16,€49.000000,2104.990000 kg,182.280000 L,7030 km
PNQ,ZRH,2019-02-23,€46.000000,1990.740000 kg,172.580000 L,6715 km
ZRH,AMS,2019-03-09,€5.000000,180.000000 kg,21.010000 L,652 km
AMS,CMR,2019-03-09,€5.000000,161.080000 kg,20.310000 L,555 km
CMR,AMS,2019-03-16,€5.000000,161.080000 kg,20.310000 L,555 km
AMS,LCY,2019-03-16,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-03-17,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,MLA,2019-03-18,€11.000000,458.000000 kg,42.530000 L,2031 km
MLA,AMS,2019-03-27,€11.000000,458.000000 kg,42.530000 L,2031 km
AMS,TNT,2019-03-27,€6.000000,259.480000 kg,27.450000 L,884 km
TNT,RTM,2019-03-29,€6.000000,253.890000 kg,27.000000 L,866 km
AMS,BUD,2019-04-18,€8.000000,335.000000 kg,33.160000 L,1217 km
BUD,MLH,2019-04-19,€7.000000,278.060000 kg,28.940000 L,943 km
MLH,TXL,2019-04-20,€5.000000,212.410000 kg,23.740000 L,734 km
TXL,AMS,2019-04-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,CGH,2019-04-25,€75.000000,3224.030000 kg,277.030000 L,9865 km
BGY,AMS,2019-05-18,€6.000000,255.660000 kg,27.140000 L,872 km
AMS,BOG,2019-05-18,€66.000000,2844.100000 kg,244.860000 L,8903 km
BOG,LAS,2019-05-19,€36.000000,1556.480000 kg,135.730000 L,5505 km
LAS,AMS,2019-05-25,€64.000000,2747.280000 kg,236.660000 L,8657 km
AMS,NHT,2019-06-07,€5.000000,108.860000 kg,17.070000 L,414 km
NHT,RLG,2019-06-08,€7.000000,277.790000 kg,28.910000 L,942 km
RLG,AMS,2019-06-09,€5.000000,168.540000 kg,20.810000 L,581 km
AMS,SXB,2019-06-15,€5.000000,162.000000 kg,21.010000 L,515 km
SXB,AMS,2019-06-29,€5.000000,162.000000 kg,21.010000 L,515 km
AMS,TXL,2019-07-05,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-07-18,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,BCN,2019-07-18,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,AMS,2019-07-20,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,SXF,2019-07-25,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,AMS,2019-08-06,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,IBZ,2019-08-06,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-08-16,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,DEL,2019-08-16,€45.000000,1930.000000 kg,167.590000 L,6412 km
DEL,BLR,2019-08-18,€9.000000,371.000000 kg,34.930000 L,1770 km
BLR,AMS,2019-08-24,€56.000000,2394.560000 kg,206.800000 L,7764 km
AMS,FRA,2019-09-14,€5.000000,118.000000 kg,17.970000 L,417 km
FRA,AMS,2019-09-19,€5.000000,118.000000 kg,17.970000 L,417 km
AMS,MRS,2019-09-19,€8.000000,326.000000 kg,33.160000 L,1035 km
MRS,RTM,2019-09-21,€7.000000,295.970000 kg,30.370000 L,999 km
RTM,AMS,2019-09-27,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,ANR,2019-09-27,€5.000000,36.320000 kg,9.190000 L,178 km
ANR,BRS,2019-09-28,€5.000000,159.530000 kg,20.210000 L,550 km
BRS,AMS,2019-10-17,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,MAN,2019-10-19,€5.000000,157.000000 kg,20.000000 L,534 km
MAN,AMS,2019-10-25,€5.000000,157.000000 kg,20.000000 L,534 km
AMS,DUB,2019-10-25,€6.000000,233.080000 kg,25.330000 L,800 km
DUB,LCY,2019-10-26,€5.000000,196.000000 kg,25.060000 L,526 km
LCY,IST,2019-10-28,€16.000000,662.560000 kg,60.360000 L,2505 km
YTZ,AMS,2019-11-17,€41.000000,1747.130000 kg,151.910000 L,6036 km
AMS,GVA,2019-11-29,€6.000000,222.000000 kg,24.810000 L,731 km
GVA,AMS,2019-12-07,€6.000000,222.000000 kg,24.810000 L,731 km
AMS,HAJ,2019-12-07,€5.000000,120.000000 kg,20.000000 L,385 km
HAJ,AMS,2019-12-13,€5.000000,120.000000 kg,20.000000 L,385 km
AMS,NUE,2019-12-13,€5.000000,211.000000 kg,25.560000 L,591 km
NUE,ESS,2019-12-14,€5.000000,106.650000 kg,16.940000 L,409 km
ESS,AMS,2019-12-22,€5.000000,47.400000 kg,12.000000 L,232 km
