DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,AKL,2019-02-15,€117.000000,5072.720000 kg,433.720000 L,13595 km
AKL,MEL,2019-02-16,€125.000000,5429.430000 kg,463.950000 L,14310 km
MEL,SYD,2019-02-23,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,SAN,2019-03-03,€106.000000,4602.000000 kg,394.170000 L,12102 km
SAN,DTW,2019-03-10,€17.000000,699.000000 kg,62.530000 L,3190 km
DTW,PDX,2019-03-10,€17.000000,697.000000 kg,62.270000 L,3182 km
PDX,DTW,2019-03-21,€17.000000,697.000000 kg,62.270000 L,3182 km
DTW,DET,2019-03-21,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-03-30,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DET,2019-03-30,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-05-23,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DET,2019-05-23,€5.000000,17.360000 kg,4.390000 L,85 km
DET,YQG,2019-05-28,€5.000000,13.270000 kg,3.350000 L,65 km
YQG,DTW,2019-06-09,€5.000000,16.730000 kg,4.230000 L,82 km
DTW,PHL,2019-06-09,€6.000000,226.000000 kg,24.810000 L,777 km
PHL,DTW,2019-06-14,€6.000000,226.000000 kg,24.810000 L,777 km
DTW,DET,2019-06-14,€5.000000,17.360000 kg,4.390000 L,85 km
DET,LGA,2019-06-15,€6.000000,242.760000 kg,26.110000 L,831 km
LGA,DTW,2019-06-19,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,SFO,2019-06-19,€18.000000,751.000000 kg,66.830000 L,3386 km
SFO,DTW,2019-07-12,€18.000000,751.000000 kg,66.830000 L,3386 km
DTW,DCA,2019-07-12,€5.000000,193.000000 kg,22.020000 L,700 km
DCA,DTW,2019-08-22,€5.000000,193.000000 kg,22.020000 L,700 km
DTW,DET,2019-08-22,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-09-01,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,ABQ,2019-09-01,€14.000000,593.840000 kg,54.620000 L,2214 km
ABQ,DTW,2019-09-08,€14.000000,593.840000 kg,54.620000 L,2214 km
DTW,DET,2019-09-08,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-09-20,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DET,2019-09-20,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-12-28,€5.000000,17.360000 kg,4.390000 L,85 km
