DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,IBZ,2019-01-01,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-01-09,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,CZM,2019-01-09,€61.000000,2615.760000 kg,225.520000 L,8324 km
CZM,CDG,2019-02-08,€61.000000,2615.760000 kg,225.520000 L,8324 km
CDG,TSR,2019-02-08,€10.000000,420.480000 kg,40.450000 L,1503 km
TSR,MAN,2019-02-09,€13.000000,527.610000 kg,49.130000 L,1937 km
MAN,MAD,2019-02-10,€10.000000,416.420000 kg,40.120000 L,1487 km
MAD,CDG,2019-02-16,€7.000000,278.000000 kg,28.100000 L,1111 km
CDG,AEP,2019-02-16,€89.000000,3842.550000 kg,329.450000 L,11132 km
AEP,VIE,2019-02-22,€97.000000,4210.270000 kg,360.620000 L,11868 km
VIE,AMS,2019-02-23,€8.000000,316.000000 kg,32.400000 L,1009 km
AMS,CDG,2019-03-08,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,ORY,2019-03-08,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,LIN,2019-03-09,€5.000000,190.000000 kg,21.770000 L,686 km
LIN,TXL,2019-03-10,€7.000000,262.650000 kg,27.700000 L,894 km
TXL,CDG,2019-03-13,€6.000000,233.000000 kg,24.550000 L,900 km
CLO,LGA,2019-03-16,€26.000000,1095.620000 kg,96.620000 L,4221 km
LGA,RTM,2019-03-22,€40.000000,1695.820000 kg,147.550000 L,5893 km
RTM,ANR,2019-03-23,€5.000000,27.610000 kg,6.980000 L,135 km
ANR,CDG,2019-03-30,€5.000000,72.250000 kg,14.860000 L,327 km
CDG,NAP,2019-03-30,€8.000000,316.000000 kg,30.880000 L,1337 km
NAP,CDG,2019-04-07,€8.000000,316.000000 kg,30.880000 L,1337 km
CDG,IBZ,2019-04-07,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-04-11,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,SIR,2019-04-11,€5.000000,152.170000 kg,19.710000 L,524 km
SIR,CDG,2019-04-25,€5.000000,152.170000 kg,19.710000 L,524 km
CDG,CND,2019-04-25,€14.000000,567.620000 kg,52.430000 L,2104 km
CND,CDG,2019-05-03,€14.000000,567.620000 kg,52.430000 L,2104 km
CDG,ORY,2019-05-03,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,ESH,2019-05-05,€5.000000,83.050000 kg,15.530000 L,353 km
ESH,CDG,2019-05-11,€5.000000,75.770000 kg,15.100000 L,336 km
CDG,AMS,2019-05-11,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-05-17,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,MLH,2019-05-17,€5.000000,115.620000 kg,17.480000 L,430 km
MLH,CDG,2019-05-26,€5.000000,115.620000 kg,17.480000 L,430 km
CDG,FLR,2019-05-26,€9.000000,381.000000 kg,39.740000 L,929 km
FLR,IBZ,2019-05-27,€8.000000,305.540000 kg,31.150000 L,1038 km
IBZ,CDG,2019-05-30,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-05-30,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-06-02,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,RLG,2019-06-02,€7.000000,269.700000 kg,28.270000 L,916 km
RLG,CDG,2019-06-07,€7.000000,269.700000 kg,28.270000 L,916 km
CDG,NHT,2019-06-07,€5.000000,102.960000 kg,16.720000 L,400 km
