DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,FRA,2019-02-09,€5.000000,118.000000 kg,17.970000 L,417 km
FRA,AMS,2019-02-10,€5.000000,118.000000 kg,17.970000 L,417 km
AMS,BRU,2019-02-23,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,AMS,2019-03-02,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,RTM,2019-03-02,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-03-08,€5.000000,19.850000 kg,5.020000 L,97 km
ORY,AMS,2019-03-16,€5.000000,138.740000 kg,18.860000 L,485 km
AMS,GLA,2019-03-16,€6.000000,236.000000 kg,26.070000 L,766 km
GLA,AMS,2019-03-23,€6.000000,236.000000 kg,26.070000 L,766 km
AMS,LCY,2019-03-23,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-03-30,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,BCN,2019-03-30,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,AMS,2019-04-06,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,MLH,2019-04-18,€5.000000,170.920000 kg,20.970000 L,590 km
MLH,BEG,2019-04-19,€8.000000,323.670000 kg,32.620000 L,1112 km
BEG,AMS,2019-04-26,€11.000000,442.000000 kg,42.530000 L,1458 km
OIM,HND,2019-05-03,€5.000000,23.000000 kg,5.820000 L,143 km
HND,LPL,2019-05-11,€72.000000,3102.000000 kg,266.700000 L,9556 km
LPL,AMS,2019-05-17,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,IST,2019-05-17,€14.000000,598.000000 kg,54.930000 L,2258 km
IST,SDV,2019-05-18,€8.000000,346.150000 kg,34.440000 L,1203 km
SDV,BRS,2019-05-25,€23.000000,961.420000 kg,85.310000 L,3769 km
BRS,AMS,2019-06-01,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,MST,2019-06-01,€5.000000,44.970000 kg,11.380000 L,220 km
MST,AMS,2019-06-07,€5.000000,44.970000 kg,11.380000 L,220 km
AMS,MST,2019-06-07,€5.000000,44.970000 kg,11.380000 L,220 km
MST,RTM,2019-06-08,€5.000000,40.460000 kg,10.240000 L,198 km
RTM,AMS,2019-06-14,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,MAD,2019-06-14,€10.000000,398.000000 kg,38.220000 L,1506 km
MAD,AMS,2019-06-29,€10.000000,398.000000 kg,38.220000 L,1506 km
AMS,SAN,2019-06-29,€67.000000,2910.750000 kg,250.500000 L,9072 km
SAN,BOS,2019-07-04,€26.000000,1091.600000 kg,96.280000 L,4210 km
BOS,LGA,2019-07-05,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,LCY,2019-07-13,€37.000000,1599.810000 kg,139.410000 L,5626 km
LCY,IBZ,2019-07-15,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,AMS,2019-07-18,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,BCN,2019-07-18,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,AMS,2019-07-24,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,ZAD,2019-07-24,€9.000000,358.410000 kg,35.430000 L,1252 km
ZAD,AMS,2019-08-02,€9.000000,358.410000 kg,35.430000 L,1252 km
AMS,PEG,2019-08-02,€9.000000,352.000000 kg,34.910000 L,1226 km
PEG,TAR,2019-08-03,€5.000000,155.880000 kg,19.960000 L,537 km
TAR,AMS,2019-08-08,€11.000000,461.930000 kg,43.810000 L,1671 km
AMS,KNF,2019-08-08,€5.000000,108.610000 kg,17.060000 L,414 km
KNF,OST,2019-08-09,€5.000000,56.520000 kg,13.410000 L,270 km
OST,BHX,2019-08-10,€5.000000,101.250000 kg,16.620000 L,396 km
BHX,AMS,2019-08-16,€5.000000,145.000000 kg,19.490000 L,489 km
AMS,GRQ,2019-08-24,€5.000000,41.130000 kg,10.410000 L,201 km
GRQ,AMS,2019-09-07,€5.000000,41.130000 kg,10.410000 L,201 km
AMS,HEM,2019-09-07,€11.000000,437.480000 kg,41.830000 L,1572 km
HEM,AMS,2019-09-13,€11.000000,437.480000 kg,41.830000 L,1572 km
AMS,DUB,2019-09-21,€6.000000,233.080000 kg,25.330000 L,800 km
DUB,AMS,2019-09-25,€6.000000,233.080000 kg,25.330000 L,800 km
AMS,BOS,2019-09-25,€32.000000,1354.000000 kg,117.970000 L,5594 km
BOS,DCA,2019-09-28,€5.000000,204.000000 kg,23.290000 L,689 km
DCA,LCY,2019-10-04,€40.000000,1723.520000 kg,149.910000 L,5970 km
LCY,TXL,2019-10-05,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,AMS,2019-10-12,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,CIA,2019-10-12,€9.000000,381.960000 kg,37.330000 L,1348 km
CIA,AMS,2019-10-17,€9.000000,381.960000 kg,37.330000 L,1348 km
AMS,NAP,2019-10-26,€10.000000,422.650000 kg,40.630000 L,1512 km
NAP,AMS,2019-11-09,€10.000000,422.650000 kg,40.630000 L,1512 km
AMS,ORY,2019-11-09,€5.000000,138.740000 kg,18.860000 L,485 km
ORY,BRU,2019-11-10,€5.000000,75.670000 kg,15.090000 L,336 km
BRU,AMS,2019-11-28,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,SIR,2019-11-28,€6.000000,217.720000 kg,24.100000 L,752 km
SIR,AMS,2019-12-06,€6.000000,217.720000 kg,24.100000 L,752 km
AMS,HND,2019-12-06,€70.000000,3030.380000 kg,260.630000 L,9375 km
HND,UTP,2019-12-12,€29.000000,1236.900000 kg,108.610000 L,4615 km
LYN,AMS,2019-12-27,€6.000000,227.540000 kg,24.890000 L,783 km
AMS,AMS,2019-12-27,€5.000000,10.190000 kg,2.570000 L,50 km
