DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,IBZ,2019-01-01,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-01-19,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,CJS,2019-01-19,€56.000000,2399.740000 kg,207.230000 L,7777 km
CJS,EMA,2019-01-31,€60.000000,2578.730000 kg,222.390000 L,8230 km
EMA,KNF,2019-02-01,€5.000000,46.490000 kg,11.760000 L,227 km
KNF,PSR,2019-02-02,€10.000000,426.290000 kg,40.920000 L,1527 km
PSR,LDY,2019-02-07,€14.000000,575.450000 kg,53.080000 L,2137 km
LDY,DCA,2019-02-07,€35.000000,1521.000000 kg,132.720000 L,5406 km
DCA,EWR,2019-02-08,€5.000000,77.000000 kg,13.410000 L,367 km
EWR,TNT,2019-02-09,€46.000000,1962.500000 kg,170.190000 L,6636 km
TNT,ZUN,2019-02-15,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,HHR,2019-02-16,€0.000000,0.000000 kg,0.000000 L,0 km
HHR,IST,2019-02-22,€88.000000,3808.770000 kg,326.580000 L,11064 km
IST,LBA,2019-02-23,€17.000000,707.750000 kg,64.130000 L,2696 km
LBA,LDY,2019-03-02,€5.000000,115.090000 kg,17.450000 L,429 km
LDY,WIL,2019-03-02,€53.000000,2286.220000 kg,197.620000 L,7489 km
WIL,DXB,2019-03-07,€22.000000,925.820000 kg,82.340000 L,3618 km
SJU,ORL,2019-03-17,€13.000000,536.700000 kg,49.860000 L,1974 km
ORL,MLH,2019-03-23,€55.000000,2357.900000 kg,203.690000 L,7671 km
MLH,LDY,2019-03-29,€9.000000,379.690000 kg,37.150000 L,1338 km
LDY,YTZ,2019-03-29,€34.000000,1444.810000 kg,126.260000 L,5194 km
YTZ,ATL,2019-03-30,€9.000000,356.220000 kg,35.250000 L,1243 km
ATL,MAN,2019-04-05,€38.000000,1649.000000 kg,143.030000 L,6627 km
MAN,LCY,2019-04-07,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,LDY,2019-04-14,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,MVD,2019-04-14,€88.000000,3819.550000 kg,327.500000 L,11086 km
MVD,SCL,2019-04-18,€8.000000,334.000000 kg,32.400000 L,1416 km
SCL,BBU,2019-04-20,€111.000000,4825.600000 kg,412.770000 L,13100 km
BBU,LDY,2019-04-26,€17.000000,703.510000 kg,63.780000 L,2678 km
LDY,PSP,2019-04-26,€59.000000,2540.710000 kg,219.170000 L,8134 km
PSP,EMA,2019-05-04,€63.000000,2719.680000 kg,234.320000 L,8587 km
EMA,LDY,2019-05-26,€5.000000,146.360000 kg,19.330000 L,504 km
LDY,LBA,2019-05-26,€5.000000,115.090000 kg,17.450000 L,429 km
LBA,LDY,2019-06-08,€5.000000,115.090000 kg,17.450000 L,429 km
LDY,MAN,2019-06-08,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,CDG,2019-06-09,€5.000000,172.000000 kg,20.250000 L,637 km
CDG,LDY,2019-06-14,€7.000000,293.800000 kg,30.200000 L,993 km
LDY,BCN,2019-06-14,€11.000000,474.770000 kg,44.850000 L,1723 km
BCN,LDY,2019-06-24,€11.000000,474.770000 kg,44.850000 L,1723 km
LDY,IBZ,2019-06-24,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,ALL,2019-06-26,€6.000000,250.310000 kg,26.710000 L,855 km
ALL,LDY,2019-07-06,€11.000000,466.980000 kg,44.220000 L,1692 km
LDY,RMI,2019-07-06,€13.000000,523.500000 kg,48.800000 L,1921 km
RMI,LDY,2019-07-11,€13.000000,523.500000 kg,48.800000 L,1921 km
LDY,IBZ,2019-07-11,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,PRG,2019-07-13,€11.000000,461.090000 kg,43.740000 L,1668 km
PRG,LDY,2019-07-19,€11.000000,445.380000 kg,42.470000 L,1604 km
LDY,BCN,2019-07-19,€11.000000,474.770000 kg,44.850000 L,1723 km
BCN,AMS,2019-07-20,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,BCN,2019-07-21,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,LDY,2019-07-31,€11.000000,474.770000 kg,44.850000 L,1723 km
LDY,IBZ,2019-07-31,€13.000000,533.240000 kg,49.580000 L,1960 km
IBZ,LDY,2019-08-09,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,PMI,2019-08-09,€13.000000,524.620000 kg,48.890000 L,1925 km
PMI,LDY,2019-08-15,€13.000000,524.620000 kg,48.890000 L,1925 km
LDY,CND,2019-08-15,€18.000000,746.420000 kg,67.360000 L,2860 km
CND,ZAD,2019-08-17,€8.000000,322.470000 kg,32.520000 L,1107 km
ZAD,RLG,2019-08-18,€8.000000,336.900000 kg,33.690000 L,1165 km
RLG,LDY,2019-08-21,€9.000000,372.370000 kg,36.560000 L,1309 km
LDY,BUD,2019-08-21,€13.000000,556.910000 kg,51.530000 L,2058 km
ORY,LDY,2019-09-06,€7.000000,298.650000 kg,30.590000 L,1010 km
LDY,TNT,2019-09-06,€11.000000,463.050000 kg,43.900000 L,1676 km
TNT,GDL,2019-09-07,€78.000000,3358.350000 kg,288.410000 L,10162 km
GDL,IBZ,2019-09-09,€74.000000,3211.600000 kg,275.970000 L,9834 km
IBZ,LDY,2019-09-12,€13.000000,533.240000 kg,49.580000 L,1960 km
LDY,FAO,2019-09-12,€13.000000,556.820000 kg,51.530000 L,2058 km
FAO,BCN,2019-09-13,€8.000000,305.320000 kg,31.130000 L,1037 km
BCN,EDI,2019-09-14,€10.000000,398.000000 kg,37.460000 L,1727 km
EDI,LDY,2019-09-21,€5.000000,67.400000 kg,14.420000 L,309 km
LDY,LCY,2019-09-21,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,LDY,2019-09-27,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,GVA,2019-09-27,€10.000000,395.370000 kg,38.420000 L,1402 km
GVA,LBA,2019-09-28,€8.000000,311.740000 kg,31.650000 L,1063 km
LBA,LDY,2019-10-04,€5.000000,115.090000 kg,17.450000 L,429 km
