DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
IBZ,LBG,2019-02-07,€8.000000,339.910000 kg,33.930000 L,1177 km
LBG,IBZ,2019-04-06,€8.000000,339.910000 kg,33.930000 L,1177 km
IBZ,MPL,2019-04-06,€5.000000,179.230000 kg,21.520000 L,618 km
MPL,IBZ,2019-05-19,€5.000000,179.230000 kg,21.520000 L,618 km
IBZ,GVA,2019-06-21,€7.000000,282.740000 kg,29.310000 L,958 km
GVA,LCY,2019-06-23,€7.000000,266.000000 kg,29.110000 L,782 km
LCY,IBZ,2019-06-30,€11.000000,452.000000 kg,43.540000 L,1457 km
IBZ,BCN,2019-07-17,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-08-29,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,AMS,2019-10-19,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-12-31,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,IBZ,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
