DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,DAL,2019-02-15,€62.000000,2655.550000 kg,228.890000 L,8425 km
DAL,SAN,2019-02-17,€13.000000,530.630000 kg,49.370000 L,1949 km
SAN,SNA,2019-02-19,€5.000000,35.050000 kg,8.870000 L,171 km
SNA,YND,2019-02-22,€23.000000,980.870000 kg,86.930000 L,3851 km
YND,TXL,2019-03-09,€42.000000,1796.060000 kg,156.060000 L,6172 km
MAN,TXL,2019-03-23,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,LCY,2019-03-23,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,TXL,2019-04-20,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,BCN,2019-04-20,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-05-11,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,NVT,2019-05-11,€84.000000,3643.550000 kg,312.580000 L,10733 km
NVT,LIN,2019-05-25,€76.000000,3279.330000 kg,281.710000 L,10004 km
LIN,TXL,2019-06-02,€7.000000,262.650000 kg,27.700000 L,894 km
ZQN,SYD,2019-06-08,€12.000000,482.000000 kg,44.810000 L,1988 km
LIS,TXL,2019-07-18,€15.000000,627.560000 kg,57.430000 L,2357 km
TXL,BCN,2019-07-18,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-07-25,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,IBZ,2019-07-25,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-08-02,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,KNF,2019-08-02,€7.000000,292.760000 kg,30.110000 L,989 km
KNF,TXL,2019-08-19,€7.000000,292.760000 kg,30.110000 L,989 km
TXL,IBZ,2019-08-19,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-09-05,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,IBZ,2019-09-05,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,MHG,2019-09-06,€9.000000,385.040000 kg,37.580000 L,1360 km
MHG,ESS,2019-09-07,€5.000000,61.860000 kg,13.910000 L,289 km
ESS,TXL,2019-09-19,€5.000000,145.070000 kg,19.240000 L,500 km
TXL,BCN,2019-09-19,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-10-26,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,LGA,2019-10-26,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,SAN,2019-10-31,€24.000000,1009.930000 kg,89.360000 L,3974 km
EIN,TXL,2019-11-13,€5.000000,175.590000 kg,21.280000 L,606 km
TXL,TXL,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
